This file includes the data from the calculated trajectory of Particle1 (proton)

Analytic formula for the resulting electric field:
0
REMARK: This does not include the electric field produced by the WOS objects 

Analytic formula for the resulting magnetic field:
(1.0e-7*(-5.0*y - 12.5)*(-0.14142135623731*(5.0*x + 5.0*z + 12.5)/sqrt((x - 2.5)**2 + (y + 2.5)**2 + (z + 5.0)**2) + 0.14142135623731*(5.0*x + 5.0*z + 62.5)/sqrt((x + 2.5)**2 + (y + 2.5)**2 + (z + 10)**2))/(sqrt((-5.0*y - 12.5)**2 + (5.0*y + 12.5)**2 + (5.0*x - 5.0*z - 37.5)**2)*sqrt((y + 2.5)**2 + (-0.5*x + 0.5*z + 3.75)**2 + (0.5*x - 0.5*z - 3.75)**2)) + 1.0e-7*(-5.0*y + 12.5)*(-0.14142135623731*(-5.0*x + 5.0*z - 37.5)/sqrt((x + 2.5)**2 + (y - 2.5)**2 + (z - 5.0)**2) + 0.14142135623731*(-5.0*x + 5.0*z + 12.5)/sqrt(z**2 + (x - 2.5)**2 + (y - 2.5)**2))/(sqrt(2*(-5.0*y + 12.5)**2 + (5.0*x + 5.0*z - 12.5)**2)*sqrt((y - 2.5)**2 + 2*(0.5*x + 0.5*z - 1.25)**2)) + 1.0e-7*(-0.14142135623731*(-5.0*y + 5.0*z - 62.5)/sqrt((x + 2.5)**2 + (y + 2.5)**2 + (z - 10.0)**2) + 0.14142135623731*(-5.0*y + 5.0*z - 12.5)/sqrt((x + 2.5)**2 + (y - 2.5)**2 + (z - 5.0)**2))*(-5.0*y - 5.0*z + 37.5)/(sqrt((x + 2.5)**2 + 2*(0.5*y + 0.5*z - 3.75)**2)*sqrt(2*(5.0*x + 12.5)**2 + (-5.0*y - 5.0*z + 37.5)**2)) + 1.0e-7*(-0.14142135623731*(5.0*y + 5.0*z - 12.5)/sqrt(z**2 + (x - 2.5)**2 + (y - 2.5)**2) + 0.14142135623731*(5.0*y + 5.0*z + 37.5)/sqrt((x - 2.5)**2 + (y + 2.5)**2 + (z + 5.0)**2))*(-5.0*y + 5.0*z + 12.5)/(sqrt((-5.0*x + 12.5)**2 + (5.0*x - 12.5)**2 + (-5.0*y + 5.0*z + 12.5)**2)*sqrt((x - 2.5)**2 + (-0.5*y + 0.5*z + 1.25)**2 + (0.5*y - 0.5*z - 1.25)**2)))*L.i + (1.0e-7*(5.0*x - 12.5)*(-0.14142135623731*(5.0*y + 5.0*z - 12.5)/sqrt(z**2 + (x - 2.5)**2 + (y - 2.5)**2) + 0.14142135623731*(5.0*y + 5.0*z + 37.5)/sqrt((x - 2.5)**2 + (y + 2.5)**2 + (z + 5.0)**2))/(sqrt((-5.0*x + 12.5)**2 + (5.0*x - 12.5)**2 + (-5.0*y + 5.0*z + 12.5)**2)*sqrt((x - 2.5)**2 + (-0.5*y + 0.5*z + 1.25)**2 + (0.5*y - 0.5*z - 1.25)**2)) + 1.0e-7*(5.0*x + 12.5)*(-0.14142135623731*(-5.0*y + 5.0*z - 62.5)/sqrt((x + 2.5)**2 + (y + 2.5)**2 + (z - 10.0)**2) + 0.14142135623731*(-5.0*y + 5.0*z - 12.5)/sqrt((x + 2.5)**2 + (y - 2.5)**2 + (z - 5.0)**2))/(sqrt((x + 2.5)**2 + 2*(0.5*y + 0.5*z - 3.75)**2)*sqrt(2*(5.0*x + 12.5)**2 + (-5.0*y - 5.0*z + 37.5)**2)) + 1.0e-7*(-0.14142135623731*(-5.0*x + 5.0*z - 37.5)/sqrt((x + 2.5)**2 + (y - 2.5)**2 + (z - 5.0)**2) + 0.14142135623731*(-5.0*x + 5.0*z + 12.5)/sqrt(z**2 + (x - 2.5)**2 + (y - 2.5)**2))*(5.0*x + 5.0*z - 12.5)/(sqrt(2*(-5.0*y + 12.5)**2 + (5.0*x + 5.0*z - 12.5)**2)*sqrt((y - 2.5)**2 + 2*(0.5*x + 0.5*z - 1.25)**2)) + 1.0e-7*(-0.14142135623731*(5.0*x + 5.0*z + 12.5)/sqrt((x - 2.5)**2 + (y + 2.5)**2 + (z + 5.0)**2) + 0.14142135623731*(5.0*x + 5.0*z + 62.5)/sqrt((x + 2.5)**2 + (y + 2.5)**2 + (z + 10)**2))*(5.0*x - 5.0*z - 37.5)/(sqrt((-5.0*y - 12.5)**2 + (5.0*y + 12.5)**2 + (5.0*x - 5.0*z - 37.5)**2)*sqrt((y + 2.5)**2 + (-0.5*x + 0.5*z + 3.75)**2 + (0.5*x - 0.5*z - 3.75)**2)))*L.j + (1.0e-7*(-5.0*x + 12.5)*(-0.14142135623731*(5.0*y + 5.0*z - 12.5)/sqrt(z**2 + (x - 2.5)**2 + (y - 2.5)**2) + 0.14142135623731*(5.0*y + 5.0*z + 37.5)/sqrt((x - 2.5)**2 + (y + 2.5)**2 + (z + 5.0)**2))/(sqrt((-5.0*x + 12.5)**2 + (5.0*x - 12.5)**2 + (-5.0*y + 5.0*z + 12.5)**2)*sqrt((x - 2.5)**2 + (-0.5*y + 0.5*z + 1.25)**2 + (0.5*y - 0.5*z - 1.25)**2)) + 1.0e-7*(5.0*x + 12.5)*(-0.14142135623731*(-5.0*y + 5.0*z - 62.5)/sqrt((x + 2.5)**2 + (y + 2.5)**2 + (z - 10.0)**2) + 0.14142135623731*(-5.0*y + 5.0*z - 12.5)/sqrt((x + 2.5)**2 + (y - 2.5)**2 + (z - 5.0)**2))/(sqrt((x + 2.5)**2 + 2*(0.5*y + 0.5*z - 3.75)**2)*sqrt(2*(5.0*x + 12.5)**2 + (-5.0*y - 5.0*z + 37.5)**2)) + 1.0e-7*(-5.0*y + 12.5)*(-0.14142135623731*(-5.0*x + 5.0*z - 37.5)/sqrt((x + 2.5)**2 + (y - 2.5)**2 + (z - 5.0)**2) + 0.14142135623731*(-5.0*x + 5.0*z + 12.5)/sqrt(z**2 + (x - 2.5)**2 + (y - 2.5)**2))/(sqrt(2*(-5.0*y + 12.5)**2 + (5.0*x + 5.0*z - 12.5)**2)*sqrt((y - 2.5)**2 + 2*(0.5*x + 0.5*z - 1.25)**2)) + 1.0e-7*(5.0*y + 12.5)*(-0.14142135623731*(5.0*x + 5.0*z + 12.5)/sqrt((x - 2.5)**2 + (y + 2.5)**2 + (z + 5.0)**2) + 0.14142135623731*(5.0*x + 5.0*z + 62.5)/sqrt((x + 2.5)**2 + (y + 2.5)**2 + (z + 10)**2))/(sqrt((-5.0*y - 12.5)**2 + (5.0*y + 12.5)**2 + (5.0*x - 5.0*z - 37.5)**2)*sqrt((y + 2.5)**2 + (-0.5*x + 0.5*z + 3.75)**2 + (0.5*x - 0.5*z - 3.75)**2)))*L.k

Data concerning the trajectory of the particle (easily imported into excel matlab...):
t;x;y;z;v;a;E;B
0;0;0;2;50.0000000000000*L.i + 50.0000000000000*L.j + 70.7106781186547*L.k;849.886485950959*L.i + 425.577408994125*L.j + (-901.889169274276)*L.k;(4.43627353177217e-6)*L.i + (2.22144701257170e-6)*L.j + (-4.70771934415054e-6)*L.k;(7.59501466662275e-8)*L.i + (-1.82042402167834e-8)*L.j + (6.29807872281707e-8)*L.k
0.005;0.2599881917348719;0.2546635736750133;2.3425066910394072;53.9932187243419*L.i + 51.8783942404870*L.j + 66.2968387115806*L.k;747.401003785812*L.i + 325.780287200695*L.j + (-863.646593555369)*L.k;(3.90131546450578e-6)*L.i + (1.70052176281454e-6)*L.j + (-4.50809912515300e-6)*L.k;(8.34749231531125e-8)*L.i + (-3.30837059792591e-9)*L.j + (7.09913521219609e-8)*L.k
0.01;0.5381277287946697;0.517302768640207;2.6642854041626447;57.2507153428445*L.i + 53.2132490778056*L.j + 62.4199990310858*L.k;555.597643615226*L.i + 208.161647726736*L.j + (-687.089278642581)*L.k;(2.90013214873903e-6)*L.i + (1.08657099907515e-6)*L.j + (-3.58649776316410e-6)*L.k;(8.70908196892937e-8)*L.i + (1.82449895438330e-8)*L.j + (7.59513543701181e-8)*L.k
0.015;0.8295797010874038;0.7852174413276705;2.9698311140025493;59.3036159183441*L.i + 54.0103352270683*L.j + 59.7939330616105*L.k;265.562586584600*L.i + 110.672811978323*L.j + (-363.337109147529)*L.k;(1.38619485468816e-6)*L.i + (5.77694638733866e-7)*L.j + (-1.89656245518276e-6)*L.k;(8.28144642059753e-8)*L.i + (4.33421822606398e-8)*L.j + (7.37310443518202e-8)*L.k
0.02;1.127444995102251;1.0562145740535183;3.2666179713561805;59.8079178055595*L.i + 54.4440682095606*L.j + 58.9027212271473*L.k;(-63.8418316984411)*L.i + 62.8203810186183*L.j + 6.85237536225096*L.k;(-3.33244301286596e-7)*L.i + (3.27912489697854e-7)*L.j + (3.57683195954191e-8)*L.k;(6.96066093866264e-8)*L.i + (6.38604424923945e-8)*L.j + (6.30549392478723e-8)*L.k
0.025;1.4240669861779103;1.3290649910017767;3.5629912752031156;58.8137827028952*L.i + 54.7279968757389*L.j + 59.6267624183697*L.k;(-333.812209367260)*L.i + 50.7510854526764*L.j + 282.764101126727*L.k;(-1.74244713085580e-6)*L.i + (2.64912668720100e-7)*L.j + (1.47598404998786e-6)*L.k;(5.19231510539962e-8)*L.i + (7.33499896494887e-8)*L.j + (4.81319591976447e-8)*L.k
0.030000000000000002;1.7130019290265888;1.6032611514303015;3.8655302334147907;56.7468939355701*L.i + 54.9612546478663*L.j + 61.3778898219607*L.k;(-492.943297562793)*L.i + 42.5520233983014*L.j + 417.686860309677*L.k;(-2.57308633540091e-6)*L.i + (2.22114856802332e-7)*L.j + (2.18025959182949e-6)*L.k;(3.54351118311017e-8)*L.i + (7.27170790479742e-8)*L.j + (3.44115254565768e-8)*L.k
0.035;1.9901949871911788;1.8784857060655988;4.177857545467577;54.1265089395639*L.i + 55.1295193363885*L.j + 63.5506562894727*L.k;(-555.210700839710)*L.i + 24.7538520105859*L.j + 451.419726695098*L.k;(-2.89811236842517e-6)*L.i + (1.29211206789684e-7)*L.j + (2.35633983874506e-6)*L.k;(2.26893145241637e-8)*L.i + (6.66385976953100e-8)*L.j + (2.42519047918908e-8)*L.k
0.04;2.2538756540185148;2.1542927272912995;4.501145135381039;51.3460857438409*L.i + 55.1913569330828*L.j + 65.7663632258900*L.k;(-556.958577449488)*L.i + (-0.0188133328617904)*L.j + 434.863047871845*L.k;(-2.90723600889827e-6)*L.i + (-9.82026329384425e-11)*L.j + (2.26991658428483e-6)*L.k;(1.36209540831265e-8)*L.i + (5.88500778160598e-8)*L.j + (1.74478250402685e-8)*L.k
0.045;2.503821478658076;2.4300925667206736;4.835183534765835;48.6338223022579*L.i + 55.1263468471163*L.j + 67.8523479215289*L.k;(-527.946799183710)*L.i + (-25.9852210537634)*L.j + 399.530830383719*L.k;(-2.75579909801940e-6)*L.i + (-1.35638759156257e-7)*L.j + (2.08548797663847e-6)*L.k;(7.34380223603858e-9)*L.i + (5.12076175520316e-8)*L.j + (1.30347341182136e-8)*L.k
0.049999999999999996;2.740647891084538;2.7052580848895884;5.179185288885657;46.0984377055503*L.i + 54.9380018998942*L.j + 69.7516978438304*L.k;(-486.207039499302)*L.i + (-49.3527578350565)*L.j + 360.209138536861*L.k;(-2.53792412980729e-6)*L.i + (-2.57613618904227e-7)*L.j + (1.88023494149987e-6)*L.k;(3.01542629804355e-9)*L.i + (4.43827898240686e-8)*L.j + (1.01511432671700e-8)*L.k
0.05499999999999999;2.965339826421536;2.979214908809299;5.532204998449762;43.7798072536106*L.i + 54.6433108544146*L.j + 71.4590589885201*L.k;(-441.245141276604)*L.i + (-68.5236603567788)*L.j + 322.735319339022*L.k;(-2.30323010616905e-6)*L.i + (-3.57682709121774e-7)*L.j + (1.68462751040185e-6)*L.k;(2.36535857410483e-11)*L.i + (3.85103727474365e-8)*L.j + (8.20892097451934e-9)*L.k
0.05999999999999999;3.1789929412777247;3.2514856128254026;5.893317590954589;41.6826311273025*L.i + 54.2639192218503*L.j + 72.9883042284248*L.k;(-397.625309246615)*L.i + (-83.2329926689625)*L.j + 288.962776622839*L.k;(-2.07554145657432e-6)*L.i + (-4.34463105898606e-7)*L.j + (1.50834015929189e-6)*L.k;(-2.04440659272905e-9)*L.i + (3.35257260615025e-8)*L.j + (6.84357594756956e-9)*L.k
0.06499999999999999;3.3826854269712534;3.5217003682280668;6.261680254409397;39.7953088808648*L.i + 53.8212073797178*L.j + 74.3585996559759*L.k;(-357.303589328467)*L.i + (-93.8517441840229)*L.j + 259.155394397593*L.k;(-1.86506843248774e-6)*L.i + (-4.89891315507114e-7)*L.j + (1.35275032111566e-6)*L.k;(-3.46432206139226e-9)*L.i + (2.93080111329352e-8)*L.j + (5.83739829063551e-9)*L.k
0.06999999999999999;3.577421153117911;3.789590095909523;6.636545722290403;38.0997286349977*L.i + 53.3341113505243*L.j + 75.5890289368348*L.k;(-320.928509018388)*L.i + (-100.986667493394)*L.j + 233.016317946000*L.k;(-1.67519624524485e-6)*L.i + (-5.27134490862666e-7)*L.j + (1.21630846102723e-6)*L.k;(-4.42257399473240e-9)*L.i + (2.57338079735239e-8)*L.j + (5.06162590416291e-9)*L.k
