This file includes the data from the calculated trajectory of Particle1 (proton)

Analytic formula for the resulting electric field:
0
REMARK: This does not include the electric field produced by the WOS objects 

Analytic formula for the resulting magnetic field:
(Integral(-2.0e-6*((z + 8.48528137423857*sin(Phi2))*(-8.48528137423857*sin(Phi2) + 6.0*cos(Phi2)) + 8.48528137423857*(y - 6.0*sin(Phi2) - 8.48528137423857*cos(Phi2))*cos(Phi2))/((z + 8.48528137423857*sin(Phi2))**2 + (x - 6.0*sin(Phi2) + 8.48528137423857*cos(Phi2))**2 + (y - 6.0*sin(Phi2) - 8.48528137423857*cos(Phi2))**2)**(3/2), (Phi2, 0.0, 6.28318530717959)))*L.i + (Integral(-2.0e-6*(-(z + 8.48528137423857*sin(Phi2))*(8.48528137423857*sin(Phi2) + 6.0*cos(Phi2)) - 8.48528137423857*(x - 6.0*sin(Phi2) + 8.48528137423857*cos(Phi2))*cos(Phi2))/((z + 8.48528137423857*sin(Phi2))**2 + (x - 6.0*sin(Phi2) + 8.48528137423857*cos(Phi2))**2 + (y - 6.0*sin(Phi2) - 8.48528137423857*cos(Phi2))**2)**(3/2), (Phi2, 0.0, 6.28318530717959)))*L.j + (Integral(-2.0e-6*(-(-8.48528137423857*sin(Phi2) + 6.0*cos(Phi2))*(x - 6.0*sin(Phi2) + 8.48528137423857*cos(Phi2)) + (8.48528137423857*sin(Phi2) + 6.0*cos(Phi2))*(y - 6.0*sin(Phi2) - 8.48528137423857*cos(Phi2)))/((z + 8.48528137423857*sin(Phi2))**2 + (x - 6.0*sin(Phi2) + 8.48528137423857*cos(Phi2))**2 + (y - 6.0*sin(Phi2) - 8.48528137423857*cos(Phi2))**2)**(3/2), (Phi2, 0.0, 6.28318530717959)))*L.k

Data concerning the trajectory of the particle (easily imported into excel matlab...):
t;x;y;z;v;a;E;B
0;0;0;10;41.3175911166535*L.i + 49.2403876506104*L.j + 76.6044443118978*L.k;3789.19872812774*L.i + (-2836.40379587255)*L.j + (-220.547794816054)*L.k;(1.97790202598748e-5)*L.i + (-1.48055808546808e-5)*L.j + (-1.15122473507555e-6)*L.k;(1.45305351480529e-7)*L.i + (1.45305351480524e-7)*L.j + (6.27737868046663e-7)*L.k
0.005;0.24292175929078683;0.19803237233018137;10.385681255602966;54.3660722014788*L.i + 31.3876200059786*L.j + 77.6349694262669*L.k;1430.19370580240*L.i + (-4304.70326198016)*L.j + 632.757840563709*L.k;(7.46538577473562e-6)*L.i + (-2.24698726935139e-5)*L.j + (3.30289621792630e-6)*L.k;(1.31482035325590e-7)*L.i + (1.29697498258573e-7)*L.j + (5.85159820612793e-7)*L.k
0.01;0.5190293420646658;0.299567528057598;10.78483908637338;55.9286649232701*L.i + 10.6890285327058*L.j + 81.7106229060089*L.k;(-805.156617085883)*L.i + (-3974.73332732897)*L.j + 997.503551333065*L.k;(-4.20279066481760e-6)*L.i + (-2.07474816312113e-5)*L.j + (5.20681135160792e-6)*L.k;(1.20959812209884e-7)*L.i + (1.12752902000707e-7)*L.j + (5.46919667412153e-7)*L.k
0.015;0.7780106394760944;0.3079868266092957;11.206845334664505;48.1621447192210*L.i + (-6.32606336368153)*L.j + 86.7582135177242*L.k;(-2301.45146453377)*L.i + (-2831.30343122596)*L.j + 1021.53269335305*L.k;(-1.20132139827419e-5)*L.i + (-1.47789577549398e-5)*L.j + (5.33223968644629e-6)*L.k;(1.11330756802866e-7)*L.i + (9.47710354748583e-8)*L.j + (5.13491045979791e-7)*L.k
0.02;0.9840618421963133;0.2487205595562368;11.652934567152624;35.0121387568184*L.i + (-16.9072976425753)*L.j + 91.4118445855425*L.k;(-2958.55092042727)*L.i + (-1401.19028033154)*L.j + 839.919733774272*L.k;(-1.54431695969443e-5)*L.i + (-7.31399246412998e-6)*L.j + (4.38424865596808e-6)*L.k;(1.01118466768812e-7)*L.i + (7.66752020149632e-8)*L.j + (4.84094687131329e-7)*L.k
0.025;1.12071080315169;0.15478901640169407;12.119296554648288;20.3771234127254*L.i + (-20.6242476090194)*L.j + 94.9601315382506*L.k;(-2895.45521720992)*L.i + (-85.5897062460982)*L.j + 579.395047308991*L.k;(-1.51138199687543e-5)*L.i + (-4.46764779400941e-7)*L.j + (3.02435084603178e-6)*L.k;(8.97931245379443e-8)*L.i + (5.94859632204741e-8)*L.j + (4.57517471476431e-7)*L.k
0.030000000000000002;1.1884611250497614;0.05728142991903655;12.600008169487264;7.27681428624116*L.i + (-18.6178781319447)*L.j + 97.2328233275740*L.k;(-2344.66843338379)*L.i + 888.137497075958*L.j + 329.681668420369*L.k;(-1.22387997500203e-5)*L.i + (4.63593778226026e-6)*L.j + (1.72088635800260e-6)*L.k;(7.75177267031869e-8)*L.i + (4.40583572630179e-8)*L.j + (4.32609700039261e-7)*L.k
0.035;1.199644479600821;-0.020319251104118016;13.089183384606494;(-2.47441691330423)*L.i + (-12.7906971259973)*L.j + 98.4014222832006*L.k;(-1555.82404643437)*L.i + 1442.73490530300*L.j + 137.757913830276*L.k;(-8.12115635603803e-6)*L.i + (7.53084885988979e-6)*L.j + (7.19074602337739e-7)*L.k;(6.48689716611926e-8)*L.i + (3.09449588178540e-8)*L.j + (4.08537935741463e-7)*L.k
0.04;1.1726265288898783;-0.06424812366120411;13.582161702019802;(-8.20828064915637)*L.i + (-5.16080136103866)*L.j + 98.7849455721864*L.k;(-737.721447906489)*L.i + 1609.22340068047*L.j + 15.6514017640071*L.k;(-3.85078970811761e-6)*L.i + (8.39989257054630e-6)*L.j + (8.16978508642902e-8)*L.k;(5.25654750489891e-8)*L.i + (2.03545801889218e-8)*L.j + (3.84860838844786e-7)*L.k
0.045;1.1268429096004646;-0.06994698967616844;14.075875196594911;(-10.1299262328653)*L.i + 2.56188857691591*L.j + 98.7081563212797*L.k;(-30.9367855770760)*L.i + 1479.85257450136*L.j + (-46.3671021266852)*L.k;(-1.61485145701696e-7)*L.i + (7.72459724411256e-6)*L.j + (-2.42028966585380e-7)*L.k;(4.12535448758195e-8)*L.i + (1.21885155570967e-8)*L.j + (3.61483752178588e-7)*L.k
