This file includes the data from the calculated trajectory of Particle2 (proton)

Analytic formula for the resulting electric field:
0
REMARK: This does not include the electric field produced by the WOS objects 

Analytic formula for the resulting magnetic field:
(1.0e-7*(-5.0*y - 12.5)*(-0.14142135623731*(5.0*x + 5.0*z + 12.5)/sqrt((x - 2.5)**2 + (y + 2.5)**2 + (z + 5.0)**2) + 0.14142135623731*(5.0*x + 5.0*z + 62.5)/sqrt((x + 2.5)**2 + (y + 2.5)**2 + (z + 10)**2))/(sqrt((-5.0*y - 12.5)**2 + (5.0*y + 12.5)**2 + (5.0*x - 5.0*z - 37.5)**2)*sqrt((y + 2.5)**2 + (-0.5*x + 0.5*z + 3.75)**2 + (0.5*x - 0.5*z - 3.75)**2)) + 1.0e-7*(-5.0*y + 12.5)*(-0.14142135623731*(-5.0*x + 5.0*z - 37.5)/sqrt((x + 2.5)**2 + (y - 2.5)**2 + (z - 5.0)**2) + 0.14142135623731*(-5.0*x + 5.0*z + 12.5)/sqrt(z**2 + (x - 2.5)**2 + (y - 2.5)**2))/(sqrt(2*(-5.0*y + 12.5)**2 + (5.0*x + 5.0*z - 12.5)**2)*sqrt((y - 2.5)**2 + 2*(0.5*x + 0.5*z - 1.25)**2)) + 1.0e-7*(-0.14142135623731*(-5.0*y + 5.0*z - 62.5)/sqrt((x + 2.5)**2 + (y + 2.5)**2 + (z - 10.0)**2) + 0.14142135623731*(-5.0*y + 5.0*z - 12.5)/sqrt((x + 2.5)**2 + (y - 2.5)**2 + (z - 5.0)**2))*(-5.0*y - 5.0*z + 37.5)/(sqrt((x + 2.5)**2 + 2*(0.5*y + 0.5*z - 3.75)**2)*sqrt(2*(5.0*x + 12.5)**2 + (-5.0*y - 5.0*z + 37.5)**2)) + 1.0e-7*(-0.14142135623731*(5.0*y + 5.0*z - 12.5)/sqrt(z**2 + (x - 2.5)**2 + (y - 2.5)**2) + 0.14142135623731*(5.0*y + 5.0*z + 37.5)/sqrt((x - 2.5)**2 + (y + 2.5)**2 + (z + 5.0)**2))*(-5.0*y + 5.0*z + 12.5)/(sqrt((-5.0*x + 12.5)**2 + (5.0*x - 12.5)**2 + (-5.0*y + 5.0*z + 12.5)**2)*sqrt((x - 2.5)**2 + (-0.5*y + 0.5*z + 1.25)**2 + (0.5*y - 0.5*z - 1.25)**2)))*L.i + (1.0e-7*(5.0*x - 12.5)*(-0.14142135623731*(5.0*y + 5.0*z - 12.5)/sqrt(z**2 + (x - 2.5)**2 + (y - 2.5)**2) + 0.14142135623731*(5.0*y + 5.0*z + 37.5)/sqrt((x - 2.5)**2 + (y + 2.5)**2 + (z + 5.0)**2))/(sqrt((-5.0*x + 12.5)**2 + (5.0*x - 12.5)**2 + (-5.0*y + 5.0*z + 12.5)**2)*sqrt((x - 2.5)**2 + (-0.5*y + 0.5*z + 1.25)**2 + (0.5*y - 0.5*z - 1.25)**2)) + 1.0e-7*(5.0*x + 12.5)*(-0.14142135623731*(-5.0*y + 5.0*z - 62.5)/sqrt((x + 2.5)**2 + (y + 2.5)**2 + (z - 10.0)**2) + 0.14142135623731*(-5.0*y + 5.0*z - 12.5)/sqrt((x + 2.5)**2 + (y - 2.5)**2 + (z - 5.0)**2))/(sqrt((x + 2.5)**2 + 2*(0.5*y + 0.5*z - 3.75)**2)*sqrt(2*(5.0*x + 12.5)**2 + (-5.0*y - 5.0*z + 37.5)**2)) + 1.0e-7*(-0.14142135623731*(-5.0*x + 5.0*z - 37.5)/sqrt((x + 2.5)**2 + (y - 2.5)**2 + (z - 5.0)**2) + 0.14142135623731*(-5.0*x + 5.0*z + 12.5)/sqrt(z**2 + (x - 2.5)**2 + (y - 2.5)**2))*(5.0*x + 5.0*z - 12.5)/(sqrt(2*(-5.0*y + 12.5)**2 + (5.0*x + 5.0*z - 12.5)**2)*sqrt((y - 2.5)**2 + 2*(0.5*x + 0.5*z - 1.25)**2)) + 1.0e-7*(-0.14142135623731*(5.0*x + 5.0*z + 12.5)/sqrt((x - 2.5)**2 + (y + 2.5)**2 + (z + 5.0)**2) + 0.14142135623731*(5.0*x + 5.0*z + 62.5)/sqrt((x + 2.5)**2 + (y + 2.5)**2 + (z + 10)**2))*(5.0*x - 5.0*z - 37.5)/(sqrt((-5.0*y - 12.5)**2 + (5.0*y + 12.5)**2 + (5.0*x - 5.0*z - 37.5)**2)*sqrt((y + 2.5)**2 + (-0.5*x + 0.5*z + 3.75)**2 + (0.5*x - 0.5*z - 3.75)**2)))*L.j + (1.0e-7*(-5.0*x + 12.5)*(-0.14142135623731*(5.0*y + 5.0*z - 12.5)/sqrt(z**2 + (x - 2.5)**2 + (y - 2.5)**2) + 0.14142135623731*(5.0*y + 5.0*z + 37.5)/sqrt((x - 2.5)**2 + (y + 2.5)**2 + (z + 5.0)**2))/(sqrt((-5.0*x + 12.5)**2 + (5.0*x - 12.5)**2 + (-5.0*y + 5.0*z + 12.5)**2)*sqrt((x - 2.5)**2 + (-0.5*y + 0.5*z + 1.25)**2 + (0.5*y - 0.5*z - 1.25)**2)) + 1.0e-7*(5.0*x + 12.5)*(-0.14142135623731*(-5.0*y + 5.0*z - 62.5)/sqrt((x + 2.5)**2 + (y + 2.5)**2 + (z - 10.0)**2) + 0.14142135623731*(-5.0*y + 5.0*z - 12.5)/sqrt((x + 2.5)**2 + (y - 2.5)**2 + (z - 5.0)**2))/(sqrt((x + 2.5)**2 + 2*(0.5*y + 0.5*z - 3.75)**2)*sqrt(2*(5.0*x + 12.5)**2 + (-5.0*y - 5.0*z + 37.5)**2)) + 1.0e-7*(-5.0*y + 12.5)*(-0.14142135623731*(-5.0*x + 5.0*z - 37.5)/sqrt((x + 2.5)**2 + (y - 2.5)**2 + (z - 5.0)**2) + 0.14142135623731*(-5.0*x + 5.0*z + 12.5)/sqrt(z**2 + (x - 2.5)**2 + (y - 2.5)**2))/(sqrt(2*(-5.0*y + 12.5)**2 + (5.0*x + 5.0*z - 12.5)**2)*sqrt((y - 2.5)**2 + 2*(0.5*x + 0.5*z - 1.25)**2)) + 1.0e-7*(5.0*y + 12.5)*(-0.14142135623731*(5.0*x + 5.0*z + 12.5)/sqrt((x - 2.5)**2 + (y + 2.5)**2 + (z + 5.0)**2) + 0.14142135623731*(5.0*x + 5.0*z + 62.5)/sqrt((x + 2.5)**2 + (y + 2.5)**2 + (z + 10)**2))/(sqrt((-5.0*y - 12.5)**2 + (5.0*y + 12.5)**2 + (5.0*x - 5.0*z - 37.5)**2)*sqrt((y + 2.5)**2 + (-0.5*x + 0.5*z + 3.75)**2 + (0.5*x - 0.5*z - 3.75)**2)))*L.k

Data concerning the trajectory of the particle (easily imported into excel matlab...):
t;x;y;z;v;a;E;B
0;0;0;10;75.0000000000000*L.i + 43.3012701892219*L.j + 50.0000000000000*L.k;3234345.44391486*L.i + 35103047.4399965*L.j + 1092988099.02029*L.k;0.0337658677551246*L.i + 0.366467960004241*L.j + 11.4104480292004*L.k;(-2.00161365125620e-8)*L.i + (3.18971393976857e-8)*L.j + (2.94264274446991e-8)*L.k
5e-06;0.000640254461752021;0.0005873887732728377;10.01256562309261;157.264086010289*L.i + 37.1005684723060*L.j + 5437.10679618885*L.k;29671288.9602009*L.i + (-37583328.1267629)*L.j + 1061854619.45525*L.k;0.309911223582872*L.i + (-0.392253162318759)*L.j + 11.0854179886342*L.k;(-2.00226862398019e-8)*L.i + (3.17362708686780e-8)*L.j + (2.92692054362669e-8)*L.k
1e-05;0.0015126349965205984;0.0003057220377699488;10.053835884845487;238.746955922802*L.i + (-70.6883579856772)*L.j + 10475.6692894406*L.k;2921859.00480437*L.i + (-5532242.45643039)*L.j + 953570377.845465*L.k;0.0308533289914958*L.i + (-0.0575274270582866)*L.j + 9.95497123397567*L.k;(-2.00455299751650e-8)*L.i + (3.12285898997334e-8)*L.j + (2.87791836039341e-8)*L.k
1.5000000000000002e-05;0.003056531900115318;-0.0003102068290785713;10.118453713445332;406.983981675091*L.i + (-128.511961891213)*L.j + 15216.8962148593*L.k;64372951.2961110*L.i + (-17597199.1057841)*L.j + 942920392.321992*L.k;0.672506212307166*L.i + (-0.183390314676941)*L.j + 9.84378371649568*L.k;(-2.00555378717163e-8)*L.i + (3.04437857679829e-8)*L.j + (2.80221520399281e-8)*L.k
2e-05;0.005650219729700078;-0.001201562113522884;10.206267518204049;541.243844850508*L.i + (-231.959243213114)*L.j + 19895.7134067568*L.k;(-10669006.0259440)*L.i + (-23781713.4229762)*L.j + 928606484.437025*L.k;(-0.110789652859633)*L.i + (-0.247857981028404)*L.j + 9.69434506930520*L.k;(-2.00205361978173e-8)*L.i + (2.93967103731309e-8)*L.j + (2.70118204824678e-8)*L.k
2.5e-05;0.008075963528803184;-0.0028837363935093957;10.318136414779357;332.151481608124*L.i + (-250.374921076651)*L.j + 24707.4985815222*L.k;(-72967939.2710097)*L.i + 16415442.2775615*L.j + 996107585.469128*L.k;(-0.761052453835062)*L.i + 0.171878280326460*L.j + 10.3990459860433*L.k;(-1.99252857060410e-8)*L.i + (2.81055091479865e-8)*L.j + (2.57690709470575e-8)*L.k
3e-05;0.009607663365339381;-0.004379802120257394;10.453900260184598;74.3188356232207*L.i + (-240.297037098048)*L.j + 29576.2464251958*L.k;(-30165119.1229517)*L.i + (-12384288.6861202)*L.j + 951391552.000300*L.k;(-0.314118652689952)*L.i + (-0.128696721724410)*L.j + 9.93222737520356*L.k;(-1.97488341211288e-8)*L.i + (2.65970195307356e-8)*L.j + (2.43196675117745e-8)*L.k
3.5000000000000004e-05;0.010014154953083023;-0.00561848089228779;10.615020667748619;(-109.496421267470)*L.i + (-215.415004771829)*L.j + 34188.1045468325*L.k;(-43360983.6333244)*L.i + 22337101.6166081*L.j + 893351696.654399*L.k;(-0.451801239257770)*L.i + 0.233872732221765*L.j + 9.32631293193163*L.k;(-1.94548739307740e-8)*L.i + (2.48904093523629e-8)*L.j + (2.26824020517387e-8)*L.k
4e-05;0.009108932865002866;-0.0066253390501069525;10.796602918930603;(-150.802929576098)*L.i + (-285.610770933325)*L.j + 38572.2938331595*L.k;26838380.3098728*L.i + (-50415408.0812068)*L.j + 860324017.876374*L.k;0.281075312317493*L.i + (-0.525594802233102)*L.j + 8.98152100036277*L.k;(-1.90262405238497e-8)*L.i + (2.30761155833418e-8)*L.j + (2.09455748657625e-8)*L.k
4.5e-05;0.008854496367648814;-0.008289299794216684;10.999852033934319;(-11.1979546357529)*L.i + (-334.403472970526)*L.j + 42840.3599915896*L.k;29003609.6662654*L.i + 30898327.2663267*L.j + 846902445.495698*L.k;0.303700952291878*L.i + 0.323356725611156*L.j + 8.84140058169805*L.k;(-1.84188478306950e-8)*L.i + (2.11840086209721e-8)*L.j + (1.91369699100193e-8)*L.k
5e-05;0.009184068109632158;-0.009724163909268488;11.223027752026614;100.664265465202*L.i + (-253.294508973427)*L.j + 46635.1896090099*L.k;15741278.3741166*L.i + 1545258.33251300*L.j + 671029401.472403*L.k;0.165232978785203*L.i + 0.0169538012514339*L.j + 7.00533694056000*L.k;(-1.76462699265911e-8)*L.i + (1.92730510103256e-8)*L.j + (1.73130947570299e-8)*L.k
5.5e-05;0.01011659691901412;-0.011240108819257426;11.464501112397917;142.374610939994*L.i + (-358.643706479873)*L.j + 49728.6626183182*L.k;942859.815800110*L.i + (-43684937.3350915)*L.j + 566359802.250903*L.k;0.0107177919357044*L.i + (-0.455216981061113)*L.j + 5.91261901061481*L.k;(-1.67306971626000e-8)*L.i + (1.73989478319705e-8)*L.j + (1.55285699746172e-8)*L.k
6e-05;0.010617644520788557;-0.013222123384811851;11.720279130585242;100.779921829741*L.i + (-529.289152598584)*L.j + 53017.5249941759*L.k;(-17580735.4599014)*L.i + (-24573241.1123929)*L.j + 749185148.092204*L.k;(-0.182709854294827)*L.i + (-0.255709337306287)*L.j + 7.82126275278129*L.k;(-1.57229342785792e-8)*L.i + (1.56225409632989e-8)*L.j + (1.38432464695069e-8)*L.k
6.500000000000001e-05;0.011289303930714738;-0.015840399182275595;11.99373318874897;157.982760802789*L.i + (-703.661180494966)*L.j + 56729.9416552559*L.k;40461871.0491208*L.i + (-45175570.0461598)*L.j + 735781516.339777*L.k;0.423201391854989*L.i + (-0.470791681383654)*L.j + 7.68133238336425*L.k;(-1.46365292281334e-8)*L.i + (1.39425822386191e-8)*L.j + (1.22561960769996e-8)*L.k
7.000000000000001e-05;0.012436131467147718;-0.01979134932190217;12.285526583509174;194.973940687876*L.i + (-742.406912206817)*L.j + 60104.1526137074*L.k;(-25665399.0950859)*L.i + 29677277.3614192*L.j + 613902867.040832*L.k;(-0.267186708900967)*L.i + 0.310634429842324*L.j + 6.40896056672317*L.k;(-1.34988954681699e-8)*L.i + (1.23778298445323e-8)*L.j + (1.07844452764000e-8)*L.k
7.500000000000001e-05;0.013198134008000297;-0.02330030702899656;12.593629810862724;207.913204371406*L.i + (-814.677997675766)*L.j + 63285.1583209581*L.k;30841104.5684978*L.i + (-58585711.5489985)*L.j + 658499415.859463*L.k;0.322668808184990*L.i + (-0.610834949220395)*L.j + 6.87453333915098*L.k;(-1.23600485480579e-8)*L.i + (1.09468211799053e-8)*L.j + (9.44588382023549e-9)*L.k
